id,owner_user_id
"1197191","37843"
"1200091","72668"
"1206390",""
"1214595","118513"
"1214974","118513"
"1215556","133535"
"1215709","133535"
"1216213","140962"
"1216640","118513"
"1216903","118513"
"1217170","148978"
"1217926","11398"
"1221371","149535"
"1222249","89253"
"1238628","3134"
"1241181","57625"
"1241570","111691"
"1244182","152410"
"1244932","39444"
"1253396","142463"
"1267873",""
"1275888","52745"
"1275948","64763"
"1276238","52745"
"1276647",""
"1279418","156653"
"1281795","138462"
"1282949","87349"
"1283909",""
"1290423","112377"
"1292792","153798"
"1296597","64742"
"1297025","20903"
"1301117",""
"1303746",""
"1308057","159447"
"1317598","157629"
"1321969","147683"
"1323925","133221"
"1327048","158455"
"1328361","76777"
"1333648",""
"1344188","143327"
"1347099","164874"
"1350748","130118"
"1352169","1265"
"1368164",""
"1371333",""
"1375393",""
"1376746","113584"
"1380144","114874"
"1383142","155336"
"1387005","4639"
"1388609","162668"
"1403646","170705"
"1415205",""
"1415218","161562"
"1420499","101495"
"1427649","86611"
"1432592",""
"1435315","40350"
"1447499","169866"
"1457733","133472"
"1457793",""
"1460915","50851"
"1462462","65214"
"1463182","177481"
"1463867","165403"
"1466122","2136530"
"1469084","178103"
"1482803","54426"
"1484671","122718"
"1485020","179985"
"1492560","181150"
"1495371","1275364"
"1503122","175562"
"1508825","140070"
"1510442","358634"
"1513871",""
"1516715","183962"
"1519735","156283"
"1520973","80229"
"1526233",""
"1528012","85821"
"1530083","154137"
"1532193","177883"
"1534166","21293"
"1534489","106512"
"1547884","56"
"1551070","61306"
"1555149","170947"
"1560300","87596"
"1576040","77775"
"1580504","179736"
"1597153","60558"
"1600888","104380"
"1614811","127212"
"1617858","2706"
"1622145","74934"
"1625816","85385"
"1626919","56976"
"1628185","255239"
"1628799","192252"
"1630609","194328"
"1631134","193748"
"1631624","51649"
"1637275","103202"
"1638248",""
"1640731","198519"
"1646822","205707"
"1650854","115983"
"1651118","199805"
"1652178","185051"
"1655626","200289"
"1655769","22470"
"1660060","200422"
"1666650","201578"
"1675383","6488"
"1676845","202958"
"1677463","101269"
"1683198","184362"
"1695326","191540"
"1702415","79078"
"1704107","176741"
"1706433","199707"
"1712503","189161"
"1717602","200349"
"1717746","200349"
"1726617","206446"
"1732724","191500"
"1734213","80932"
"1741445","211733"
"1744282","94150"
"1750214","171160"
"1757251","44269"
"1760325","153995"
"1779823","216598"
"1780907","216728"
"1781071","79252"
"1791288","181726"
"1793993","85821"
"1795114","198004"
"1795615","201478"
"1802708","207756"
"1804867","219564"
"1807974","111600"
"1812773","217649"
"1826893","222197"
"1838366","223634"
"1845554","186153"
"1851995","119198"
"1854806","167958"
"1860470","18511"
"1861630","226549"
"1862391","156765"
"1880445","44980"
"1902833","220204"
"1908492","179311"
"1908909","200894"
"1914409","76173"
"1917937","136298"
"1918728","150150"
"1921832","227094"
"1933926","30203"
"1938430","88894"
"1942199","236308"
"1944400","45849"
"1945005","139459"
"1945248","236707"
"1945741","209828"
"1954502","208222"
"1960681","11708"
"1962299","191474"
"1963195","238779"
"1964714","239001"
"1967181","239302"
"1980001","482"
"1980345","190451"
"1980772","160154"
"1986708","102533"
"1986953","236172"
"1993833","74359"
"1998341","242565"
"1999961","185511"
"2014938","229849"
"2017094","229761"
"2019730","180344"
"2019790","245340"
"2024294","111669"
"2024968","162101"
"2032814",""
"2046786","190388"
"2057403","24218"
"2060750","250289"
"2060982","240215"
"2060984","95267"
"2068595","32892"
"2082262","144364"
"2090872","252919"
"2092143","221794"
"2093666","227964"
"2098046","196975"
"2100184","204535"
"2107251","215230"
"2112644","50225"
"2113463","48062"
"2118882","59313"
"2123641","256814"
"2131527","183579"
"2131843","24837"
"2137505","258997"
"2151166","260535"
"2159920","231343"
"2160232","192360"
"2167310","84201"
"2168836","183680"
"2171875","26051"
"2173465","248507"
"2180133","263851"
"2187103","215969"
"2189408","246114"
"2190261","6651"
"2197492","222347"
"2199638",""
"2199898","241654"
"2206586","121793"
"2209457","52529"
"2210260","81235"
"2212223","111435"
"2212478","238030"
"2222355",""
"2225257","269034"
"2233062","78436"
"2234283","111479"
"2236936","270255"
"2238515","260080"
"2240129","249729"
"2244357","84546"
"2255476","115136"
"2256495","49478"
"2265991","273512"
"2268814","100733"
"2268985","123468"
"2272207","272839"
"2274438","419934"
"2287652","122677"
"2288022","383"
"2292846","115681"
"2298439","162192"
"2299899","277366"
"2300146",""
"2302776","168034"
"2303147","6278"
"2309221","71592"
"2312650","119145"
"2317473","209542"
"2320110","119145"
"2322261","74556"
"2323104","41200"
"2325420","117077"
"2329346","280681"
"2332413","266307"
"2350605","238898"
"2353830","272521"
"2362594","284318"
"2363283","644669"
"2365822","2749"
"2370015","120330"
"2372316","284413"
"2372635","107728"
"2374697","82203"
"2381296","286461"
"2382130","286556"
"2384643","286826"
"2386884","187606"
"2392236","259681"
"2402121","204427"
"2412031","135952"
"2412738","254476"
"2414064","250471"
"2415261","14971"
"2418609","103219"
"2421218","1190"
"2427523","2154"
"2430109",""
"2436520","272385"
"2441004","98573"
"2447451","1360"
"2452318","294503"
"2461051","97008"
"2461776","235308"
"2462235","93955"
"2464121","286701"
"2470694","296601"
"2476436","2706"
"2477862","297416"
"2494728","299259"
"2497935","2173499"
"2499036","155077"
"2508698","26130"
"2509013","187580"
"2510311","2908"
"2512849","301392"
"2513863","105744"
"2516266","253257"
"2521658","301646"
"2522967","254232"
"2525656","257796"
"2529772","35935"
"2533049","303576"
"2534971","270311"
"2536491","149206"
"2536896","28004"
"2540337","191526"
"2543881","300115"
"2543966","40080"
"2544235","293949"
"2546134","249027"
"2546957",""
"2556357","241654"
"2557586","301121"
"2561564","298294"
"2561999","167911"
"2566076","849669"
"2566096","181771"
"2569938","187750"
"2576734","308968"
