links,type,state,creation date,updated date,closed date,comment count,user count
https://api.github.com/repos/Advanced-Frontend/Daily-Interview-Question/issues/31,issue,open,2019-03-07T09:54:03Z,2020-07-29T09:02:13Z,,16,16
https://api.github.com/repos/eggjs/egg/issues/3050,issue,closed,2018-09-27T11:02:45Z,2018-11-10T04:17:35Z,2018-10-10T08:17:17Z,12,4
https://api.github.com/repos/ant-design/ant-design-pro/issues/4603,issue,closed,2019-06-25T02:15:56Z,2019-12-04T09:27:39Z,2019-08-22T07:26:12Z,6,4
https://api.github.com/repos/YMFE/yapi/issues/804,pr,closed,2019-02-14T06:31:04Z,2019-02-18T04:19:52Z,2019-02-18T04:19:52Z,2,1
https://api.github.com/repos/eggjs/egg/issues/3843,issue,closed,2019-07-24T10:56:20Z,2019-07-25T00:13:07Z,2019-07-24T12:38:32Z,7,3
https://api.github.com/repos/eggjs/egg/issues/4053,issue,closed,2019-11-20T09:34:59Z,2019-11-20T09:46:55Z,2019-11-20T09:46:55Z,0,0
https://api.github.com/repos/eggjs/egg/issues/3246,issue,closed,2018-11-28T16:35:16Z,2019-02-18T10:05:14Z,2018-12-04T11:08:03Z,6,4
https://api.github.com/repos/Binaryify/NeteaseCloudMusicApi/issues/127,issue,closed,2017-11-08T11:47:18Z,2018-01-12T06:24:49Z,2017-11-09T06:58:04Z,12,2
https://api.github.com/repos/eggjs/egg/issues/260,issue,closed,2017-01-14T11:00:43Z,2017-04-17T02:57:04Z,2017-01-20T12:52:17Z,13,5
https://api.github.com/repos/YMFE/yapi/issues/1784,issue,open,2020-05-21T14:01:36Z,2020-05-27T02:08:09Z,,2,2
https://api.github.com/repos/dvajs/dva/issues/139,issue,closed,2016-10-09T06:16:31Z,2016-12-02T03:05:29Z,2016-10-15T02:40:14Z,3,3
https://api.github.com/repos/Binaryify/NeteaseCloudMusicApi/issues/595,issue,closed,2019-09-19T16:16:01Z,2019-10-04T14:09:22Z,2019-10-04T14:09:22Z,4,1
https://api.github.com/repos/Binaryify/NeteaseCloudMusicApi/issues/168,issue,closed,2018-01-07T11:58:21Z,2018-01-10T01:47:17Z,2018-01-10T01:47:17Z,15,1
https://api.github.com/repos/Meituan-Dianping/mpvue/issues/154,issue,closed,2018-03-21T09:14:56Z,2018-03-21T12:48:38Z,2018-03-21T12:48:38Z,1,1
https://api.github.com/repos/ant-design/ant-design-pro/issues/969,issue,closed,2018-02-24T12:39:19Z,2020-05-19T02:59:19Z,2018-02-24T23:42:11Z,5,4
https://api.github.com/repos/eggjs/egg/issues/1000,issue,closed,2017-06-05T12:55:24Z,2018-01-05T14:24:46Z,2017-06-06T02:11:08Z,7,3
https://api.github.com/repos/guzzle/guzzle/issues/2031,issue,open,2018-03-23T15:52:29Z,2018-03-31T22:38:04Z,,1,1
https://api.github.com/repos/axios/axios/issues/705,issue,closed,2017-02-14T12:28:39Z,2020-05-22T07:24:43Z,2017-02-19T13:43:58Z,1,1
https://api.github.com/repos/psf/requests/issues/4881,issue,closed,2018-11-27T19:37:27Z,2018-11-28T16:21:05Z,2018-11-28T13:02:10Z,6,1
https://api.github.com/repos/acmesh-official/acme.sh/issues/2227,issue,closed,2019-04-22T05:19:41Z,2019-04-22T10:11:06Z,2019-04-22T10:11:05Z,3,0
https://api.github.com/repos/request/request/issues/2512,issue,closed,2017-01-16T11:54:21Z,2017-01-16T16:02:58Z,2017-01-16T16:02:58Z,0,0
https://api.github.com/repos/binux/pyspider/issues/408,issue,closed,2016-03-26T11:05:32Z,2016-03-26T20:57:54Z,2016-03-26T20:57:54Z,0,0
https://api.github.com/repos/SeleniumHQ/selenium/issues/7380,issue,closed,2019-07-09T06:09:18Z,2019-08-14T06:09:46Z,2019-07-09T10:20:45Z,1,0
https://api.github.com/repos/AFNetworking/AFNetworking/issues/801,issue,closed,2013-02-12T06:12:20Z,2016-12-13T12:01:56Z,2013-02-27T18:51:53Z,5,4
https://api.github.com/repos/psf/requests/issues/1027,issue,closed,2012-12-18T00:23:15Z,2012-12-18T05:46:14Z,2012-12-18T05:46:14Z,1,0
https://api.github.com/repos/matomo-org/matomo/issues/10934,issue,closed,2016-12-01T11:01:37Z,2016-12-06T10:44:13Z,2016-12-06T10:44:09Z,1,1
https://api.github.com/repos/amazeui/amazeui/issues/587,issue,closed,2015-05-29T05:00:51Z,2015-05-29T05:19:01Z,2015-05-29T05:19:01Z,0,0
https://api.github.com/repos/axios/axios/issues/1918,issue,closed,2018-12-09T15:30:08Z,2020-05-22T13:35:28Z,2018-12-11T01:00:41Z,0,0
https://api.github.com/repos/github/fetch/issues/452,issue,closed,2016-12-15T09:22:28Z,2019-01-08T14:08:54Z,2016-12-15T14:38:10Z,10,5
https://api.github.com/repos/alsotang/node-lessons/issues/122,issue,open,2017-02-12T15:04:36Z,2017-02-14T04:53:39Z,,5,1
https://api.github.com/repos/puppeteer/puppeteer/issues/4616,issue,closed,2019-06-23T07:35:07Z,2019-07-16T02:28:31Z,2019-07-15T04:57:58Z,2,1
https://api.github.com/repos/ansible/ansible/issues/66612,pr,closed,2020-01-20T07:26:16Z,2020-02-25T23:04:49Z,2020-01-28T15:59:30Z,1,1
https://api.github.com/repos/wg/wrk/issues/161,issue,closed,2015-09-11T09:05:48Z,2015-09-18T09:30:49Z,2015-09-12T01:32:46Z,2,1
https://api.github.com/repos/github/fetch/issues/498,issue,closed,2017-03-25T01:32:39Z,2017-03-25T16:35:54Z,2017-03-25T16:35:54Z,0,0
https://api.github.com/repos/kataras/iris/issues/1543,issue,closed,2020-06-23T08:16:07Z,2020-06-23T09:03:46Z,2020-06-23T09:00:19Z,4,1
https://api.github.com/repos/axios/axios/issues/943,issue,closed,2017-06-08T07:56:32Z,2020-05-22T13:09:20Z,2017-08-12T20:36:53Z,15,10
https://api.github.com/repos/angular/angular.js/issues/13332,issue,closed,2015-11-18T06:10:02Z,2017-02-18T21:14:06Z,2015-11-18T06:17:08Z,2,1
https://api.github.com/repos/PanJiaChen/vue-element-admin/issues/2916,issue,closed,2020-01-08T02:49:58Z,2020-01-13T05:53:14Z,2020-01-13T05:53:14Z,0,0
https://api.github.com/repos/bcit-ci/CodeIgniter/issues/12,issue,closed,2011-08-19T14:39:23Z,2012-02-27T13:29:44Z,2012-02-27T13:29:44Z,1,1
https://api.github.com/repos/axios/axios/issues/2024,issue,closed,2019-03-01T16:08:16Z,2020-05-03T11:28:40Z,2019-12-03T02:05:37Z,9,6
https://api.github.com/repos/symfony/symfony/issues/2881,issue,closed,2011-12-14T14:11:34Z,2011-12-17T10:10:16Z,2011-12-17T10:10:16Z,0,0
https://api.github.com/repos/eggjs/egg/issues/1136,issue,closed,2017-07-01T13:52:44Z,2018-01-29T11:09:52Z,2017-07-01T14:34:41Z,1,0
https://api.github.com/repos/eggjs/egg/issues/1058,issue,closed,2017-06-15T08:33:33Z,2020-07-21T16:29:43Z,2017-06-15T08:37:19Z,3,2
https://api.github.com/repos/eggjs/egg/issues/1540,issue,closed,2017-10-17T09:19:06Z,2017-11-17T01:49:37Z,2017-10-17T09:52:51Z,9,3
https://api.github.com/repos/github/fetch/issues/639,issue,closed,2018-07-24T18:40:36Z,2018-07-25T12:57:00Z,2018-07-25T12:56:59Z,1,1
https://api.github.com/repos/angular/angular.js/issues/3988,issue,closed,2013-09-12T20:01:29Z,2015-03-02T22:32:32Z,2015-03-02T22:32:32Z,5,3
