id,owner_user_id
"703757","82165"
"704831","69340"
"707072","25515"
"708441",""
"709456","80901"
"712504","69079"
"714704","54408"
"715634","54408"
"721895",""
"722032","54964"
"723791","53182"
"724257","77546"
"725625","3259"
"725875","88112"
"730206","76086"
"732561","80264"
"733744","103987"
"733971","88412"
"735193","40220"
"738500","29538"
"742719","80855"
"742730","74980"
"746193","20126"
"746347","23341"
"746816","65706"
"749618","62660"
"752276","70909"
"753719","40118"
"756850","51230"
"757318","72113"
"758823","4782"
"761313","3118"
"761889","298"
"764564","85095"
"770900","77546"
"771069",""
"771466","71444"
"771535",""
"772502","93771"
"772888","89986"
"774615","42636"
"774627","91857"
"778991","1343"
"781690",""
"782930","13466"
"787471","95562"
"788459","57845"
"788808","676066"
"792764","38100"
"797081","81057"
"799325","13022"
"800543","79760"
"800922","427855"
"804130","71126"
"805324","4555"
"805658","1428"
"807447","23133"
"809602",""
"811670","46411"
"811988","89636"
"815985","1108"
"816595","31077"
"817905",""
"818398",""
"819765","4454"
"821579","88631"
"824688","19546"
"825709","1316"
"827518","42573"
"834694","44269"
"835012","40987"
"835826","57630"
"836459","71904"
"836961","90793"
"837935","82344"
"839206","7140"
"839499",""
"840279","24946"
"843317","94309"
"846314","104518"
"847306","47322"
"849987","28045"
"850256","28045"
"852418","103504"
"853266",""
"853861","81016"
"856912","2492"
"859652","21370"
"861679","95873"
"865837","814"
"867171","14495"
"871388","43681"
"876557","23643"
"879321","71126"
"883986","49632"
"884209","29653"
"884927","33686"
"885300","108096"
"885485","13100"
"885532","745"
"886683","93558"
"888473","13100"
"890085","31624"
"890396","28029"
"890938","99542"
"891018","33264"
"893588","64226"
"894047","57621"
"896821","22569"
"897740","69986"
"900367","19147"
"905029",""
"905851","44537"
"906900",""
"907057","81514"
"908448","14979"
"910208","11850"
"915999","102398"
"916834","57621"
"917857","102427"
"922231","7634"
"923154","6531"
"924081","113419"
"925703","432226"
"926956","27009"
"932339","57986"
"932728",""
"933199","95232"
"935010","16066"
"940174","64226"
"944745","64226"
"948041","24351"
"948507","325418"
"949064","117131"
"949569","23153"
"949907","117256"
"950662","117353"
"951931","117507"
"954337","52529"
"954416","117256"
"957884",""
"959916","41613"
"962230","68982"
"965500","44269"
"970308",""
"975618","115868"
"976011","21918"
"982260","110685"
"982416","103897"
"982931",""
"983342","37450"
"984525","43217"
"985074","73120"
"985628","112580"
"986244","115868"
"986468","6701"
"990705",""
"991434","122353"
"995178","106244"
"995253",""
"995372","119535"
"998084","108493"
