id,favorite
"2729468","1"
"2731907","1"
"2735811","3"
"2737095",""
"2741588","1"
"2745748","1"
"2746932","3"
"2749769","4"
"2750008",""
"2760911","4"
"2761529",""
"2764229",""
"2766740","2"
"2769144",""
"2769461","2"
"2770328",""
"2770550",""
"2771912","3"
"2775595","4"
"2791745","6"
"2796859",""
"2799503","4"
"2800398","2"
"2802298","2"
"2803573","1"
"2806842","7"
"2808092","1"
"2813571","1"
"2821954","1"
"2825452","40"
"2826889",""
"2831542",""
"2832938","3"
"2833669","2"
"2838754",""
"2839663","1"
"2845885",""
"2847629","1"
"2848609",""
"2848907","4"
"2850074",""
"2855326","3"
"2860943","97"
"2864976","1"
"2868416","4"
"2876039",""
"2879146","1"
"2882651",""
"2889680",""
"2890744",""
"2891184",""
"2892720",""
"2893395",""
"2898685","11"
"2904301","5"
"2904425","1"
"2910008","2"
"2912167","3"
"2913317",""
"2915036","1"
"2924410",""
"2926704","3"
"2929996","25"
"2931262",""
"2934326",""
"2935220","5"
"2936234",""
"2936747",""
"2938563",""
"2939580",""
"2945393","1"
"2956778","1"
"2958922",""
"2962038","3"
"2968336","2"
"2969481","25"
"2972055","4"
"2973149",""
"2973546",""
"2973993",""
"2977370",""
"2980848",""
"2981132","1"
"2981555",""
"2986317",""
"2986766",""
"2989053",""
"2990070",""
"2990537",""
"2990654","8"
"2992057",""
"3004551",""
"3005632","1"
"3006407","1"
"3006710","3"
"3018438","1"
"3022366","1"
"3027196",""
"3034133",""
"3034947","1"
"3036881","2"
"3037558","2"
"3044674",""
"3047393","1"
"3048078",""
"3048542","2"
"3053972","1"
"3058290",""
"3061459",""
"3069981",""
"3072786",""
"3074889","2"
"3076581",""
"3078487",""
"3080585","5"
"3083478",""
"3087270","1"
"3097762",""
"3107522","1"
"3108067","2"
"3108490","7"
"3110153",""
"3118684","2"
"3128758",""
"3133029",""
"3135582",""
"3139922",""
"3140011","1"
"3142602",""
"3145453","14"
"3151407","2"
"3154599","1"
"3154998","2"
"3163903","1"
"3168369",""
"3170196",""
"3170347","5"
"3170804","1"
"3171481","2"
"3172710",""
"3176536","1"
"3178200","3"
"3186332","3"
"3186870","1"
"3193374","1"
"3195608",""
"3197321","7"
"3198104",""
"3198928","4"
"3200936",""
"3204456","3"
"3204928","2"
"3205349",""
"3207346",""
"3210795","5"
"3211105",""
"3214450",""
"3215780","2"
"3219896","0"
"3224983",""
"3226886","2"
"3236088","2"
"3242732",""
"3243583",""
"3246739","4"
"3247471",""
"3248284","1"
"3251237","1"
"3254713","1"
"3255234","1"
"3261880","1"
"3269617","3"
"3276685",""
"3277022","2"
"3277143",""
"3280603","1"
"3283425","0"
"3283562","5"
"3283787","28"
"3286370","1"
"3297125",""
"3302946","7"
"3306902",""
"3329269","3"
"3334237","1"
"3334349",""
"3335364",""
"3336391","2"
"3346265","1"
"3351127","3"
"3351272","0"
"3353758","3"
"3355822","2"
"3363339",""
"3366795",""
"3368254","1"
"3372268","3"
"3376634","1"
"3385593","8"
"3385944","1"
"3393314",""
"3393986",""
"3400675",""
"3408927","4"
"3412203","1"
"3423542","1"
"3426814",""
"3430016","2"
"3432911","1"
"3434434",""
"3451211","1"
"3454523","1"
"3455472","1"
"3460971","1"
"3470431","8"
"3471093",""
"3472151",""
"3477522","6"
"3479728","3"
"3489620",""
"3490887",""
"3490996","1"
"3495739","5"
"3496807",""
"3498904",""
"3503006","1"
"3503229",""
"3504955","7"
"3507543","1"
"3508164",""
"3508510","2"
"3511573",""
"3516241","1"
"3523962",""
"3527782",""
"3528700",""
"3530910","1"
"3532375",""
"3533665",""
"3534979",""
"3540339","5"
"3541763",""
"3548839",""
"3549161","4"
"3557803",""
"3561771","3"
"3567012",""
"3569324","2"
"3569783","5"
"3570655",""
"3574965","1"
"3576201","1"
"3579199",""
"3583265","2"
"3590422",""
"3595835","1"
"3596328","1"
"3597553",""
"3600527","2"
"3601963","1"
"3605579",""
"3610044",""
"3623236","11"
"3633572",""
"3636286","4"
"3636478","2"
"3637918",""
"3637969",""
"3639054","1"
"3640156","1"
"3640561","1"
"3642192","2"
"3642313","1"
"3652166","1"
"3654559","1"
"3655008",""
"3659395","1"
"3664519",""
"3666676","1"
"3669905",""
"3678190",""
"3678238","2"
"3681358",""
"3684239","3"
"3684645","1"
"3687940","7"
"3689468",""
"3690269","4"
"3690396",""
"3691587","3"
"3692347",""
"3692526","2"
"3692734",""
"3693741","2"
"3693965",""
"3695702","2"
"3699751",""
"3703621","1"
"3705356","27"
"3705465",""
"3707717",""
"3715323","3"
"3724900","3"
"3725160","1"
"3737067",""
"3743659",""
"3748151","0"
"3757474",""
"3757592",""
"3760504",""
"3767021",""
"3769089",""
"3773440",""
"3773714","1"
"3774815","1"
"3787346","7"
"3790962",""
"3795993","10"
"3796749",""
"3798193",""
"3806016","4"
"3810178",""
"3810223","2"
"3811197",""
"3812449",""
"3812849","8"
"3815656","13"
"3817303",""
"3818046",""
"3818485","1"
"3829619",""
"3830508","1"
"3834688","1"
"3841235",""
"3844062","0"
"3848521",""
"3848710","2"
"3852190","1"
"3854418",""
"3854692","14"
"3859623",""
"3863780","2"
"3867714","4"
"3871012",""
"3873128","0"
"3876114","1"
"3881077","3"
"3881491","1"
"3882222",""
"3883990",""
"3884577","1"
"3885085","6"
"3889809","3"
"3890390",""
"3891345",""
"3893903","2"
"3894748","0"
"3902667",""
"3903973",""
"3907826",""
"3917617","3"
"3926615",""
"3928060","1"
"3931119",""
"3934735","2"
"3936515","1"
"3936788",""
"3937456","1"
"3938184","3"
"3940124","4"
"3944624","2"
"3947947","1"
"3948975","5"
"3951089","4"
"3964077","3"
"3965403","1"
"3969601",""
"3973325","2"
"3974211","1"
"3977274",""
"3978354","4"
"3979231",""
"3979385","2"
"3983474",""
"3983933",""
"3993005","1"
"4003048",""
"4003247",""
"4006489","1"
"4007390","0"
"4008013","1"
"4009016","2"
"4011245",""
"4012616","1"
"4014128","0"
"4027756","3"
"4028998","4"
"4029632","2"
"4029956",""
"4032694",""
"4033080",""
"4033419",""
"4033789",""
"4038981","8"
"4053822",""
"4055513",""
"4057968",""
"4064561","1"
"4070601",""
"4081333",""
"4083520",""
"4089354",""
"4090415","1"
"4094459","2"
"4096506","7"
"4099333","8"
"4103003","1"
"4105402","0"
"4113583","1"
"4118932",""
"4122623",""
"4126000",""
"4128497",""
"4130203","3"
"4130783",""
"4134335",""
"4135261","5"
"4144134","1"
"4145123","3"
"4149688",""
"4150395",""
"4153628","5"
"4157558",""
"4159754","1"
"4165042","2"
"4169376",""
"4170135",""
"4170418","2"
"4173016","1"
"4176574","10"
"4177614",""
"4182239","0"
"4183016",""
"4194245","0"
"4196027",""
"4196456",""
"4197934",""
"4201042","1"
"4207485","11"
"4209287",""
"4209397","1"
"4213453",""
"4222967",""
"4229660","0"
"4231018","1"
"4232389","19"
"4233663",""
"4236157",""
"4238112","9"
"4240757",""
"4249160","3"
"4250061","1"
"4255975","1"
"4257038",""
"4258278",""
"4258539",""
"4262648",""
"4267019","4"
"4268306","1"
"4275955","2"
"4280455",""
"4282056",""
"4284323",""
"4287019","9"
"4287689",""
"4289115","0"
"4292998","1"
