id,ParentId,owneruserid,score
"283908","283774","34097","2"
"283983","283774","2452","22"
"286954","286938","4950","8"
"286986","286938","1444511","-2"
"287008","286938","4309","1"
"287015","286938","22224","67"
"290677","286938","6272","4"
"294593","260664","34067","0"
"297943","297850","20860","7"
"298007","297850","9951","-1"
"298547","298535","16511","2"
"298566","298535","27528","1"
"298567","298535","33036","19"
"298681","187736","38432","0"
"299328","297850","20860","1"
"313187","260664","137","0"
"315141","315132","2915","17"
"315161","315132","33966","1"
"315168","315132","","1"
"315269","315132","32134","1"
"322628","322607","36457","0"
"322634","322607","24215","3"
"322708","322607","18936","0"
"322865","322607","115","6"
"323953","323939","24181","0"
"323954","323939","17876","1"
"323963","323939","34644","2"
"324746","324726","18180","10"
"325006","323939","40883","0"
"325500","324726","1606","2"
"325534","220437","","0"
"327109","102496","14431","0"
"334908","334776","40764","7"
"334921","334776","","0"
"334929","334776","20860","2"
"335908","335888","15031","1"
"335911","335888","36365","11"
"335913","335888","20860","4"
"339187","339180","115","-1"
"339192","339180","9021","3"
"339195","339180","813","2"
"339238","339180","20860","7"
"339305","339180","20267","2"
"339622","339603","12950","27"
"340895","339603","26133","13"
"344023","343995","35296","2"
"344027","343995","32671","1"
"344133","343995","15031","1"
"346974","346826","20010","1"
"347097","347088","27204","7"
"347110","347088","","0"
"347130","347088","14431","0"
"348719","60174","3542","382"
"348782","347856","43182","1"
"348805","347856","11995","3"
"364228","358772","11851","8"
"368337","368329","28144","4"
"368339","368329","15880","5"
"368423","368329","11649","2"
"368461","368329","18180","8"
"368711","368329","26155","0"
"368757","368329","8611","10"
"373058","368329","45144","2"
"373376","346826","42404","0"
"373972","373761","6632","2"
"376563","373761","28832","0"
"378336","241953","15770","2"
"379455","379387","2424","3"
"390679","346826","4974","0"
"394228","394214","2112692","0"
"394292","394214","1142","11"
"395688","395652","44041","5"
"395722","395652","29125","2"
"398766","398537","30085","1"
"400164","398537","50158","0"
"400254","398537","41021","0"
"400292","398537","1935","2"
"400313","398537","50158","1"
"401684","401656","24950","989"
"401691","401656","22224","43"
"401693","401656","10861","6"
"401696","401656","34479","12"
"401698","401656","2238","4"
"401721","401656","50023","8"
"404033","404027","10369","0"
"404086","404027","30587","2"
"404184","404027","3029","1"
"408504","398537","45786","1"
"410162","410150","50548","1"
"410168","410150","51237","5"
"413151","413137","6521","4"
"413153","413137","50866","2"
"413156","413137","10585","4"
"413167","413137","50023","0"
"413168","413137","51649","0"
"413206","413137","50003","0"
"413336","73947","47901","2"
"413761","413137","12799","0"
"413794","73947","10837","3"
"414053","414034","3068","5"
"414054","414034","2025","6"
"419799","419738","16883","1"
"420348","419738","26133","1"
"421090","419738","69346","1"
"421221","419738","40707","0"
"421952","419738","9968","1"
"428485","373761","53114","2"
"431748","431698","50276","8"
"431879","431698","11301","-1"
"432137","431698","10837","0"
"432799","431698","53114","12"
"437982","437962","50312","0"
"437989","437962","813","12"
"438113","437962","44639","0"
"438168","437962","46264","0"
"438186","437962","25411","2"
"441737","220437","","0"
"441790","220437","","2"
"441832","220437","28835","0"
"444038","443988","31318","3"
"444043","443988","51760","-1"
"444091","443988","43816","5"
"444337","443988","5298","0"
"446531","446467","5976","0"
"446545","446467","43965","1"
"446547","446467","53114","1"
"447033","446986","55445","2"
"447061","446986","26490","2"
"451635","451601","54696","2"
"451642","451623","54680","3"
"451651","451623","6388","1"
"451697","451601","13704","0"
"451724","451601","20178","1"
"452107","451623","3896","1"
"452185","451623","12605","0"
"452242","451623","27009","2"
"452340","451601","18936","3"
"456558","456546","56338","10"
"456629","456546","49701","6"
"457018","457014","3055","0"
"457027","457014","2238","11"
"457034","457014","44639","3"
"457037","457014","24181","1"
"457038","457014","16883","1"
"461845","461800","42124","0"
"461852","461800","57010","0"
"461862","461800","41363","2"
"465867","461800","55402","2"
"474717","474698","46991","2"
"474720","474698","56541","5"
"474730","474698","16084","2"
"474762","474698","20860","0"
"475026","474698","2567","0"
"477660","477649","91","11"
"478256","478251","41860","1"
"478260","478251","49701","0"
"478264","478251","55283","0"
"478275","478251","20471","0"
"478304","478251","46782","1"
